141000000000|Для размещения объектов сельскохозяйственного назначения и сельскохозяйственных угодий
141001000000|Для сельскохозяйственного производства
141001010000|Для использования в качестве сельскохозяйственных угодий
141001020000|Для размещения зданий, строений, сооружений, используемых для производства, хранения и первичной переработки сельскохозяйственной продукции
141001030000|Для размещения внутрихозяйственных дорог и коммуникаций
141001040000|Для размещения водных объектов
141002000000|Для ведения крестьянского (фермерского) хозяйства
141003000000|Для ведения личного подсобного хозяйства
141004000000|Для ведения гражданами садоводства и огородничества
141005000000|Для ведения гражданами животноводства
141006000000|Для дачного строительства
141007000000|Для размещения древесно-кустарниковой растительности, предназначенной для защиты земель от воздействия негативных (вредных) природных, антропогенных и техногенных явлений
141008000000|Для научно-исследовательских целей
141009000000|Для учебных целей
141010000000|Для сенокошения и выпаса скота гражданами
141011000000|Фонд перераспределения
141012000000|Для размещения объектов охотничьего хозяйства
141013000000|Для размещения объектов рыбного хозяйства
141014000000|Для иных видов сельскохозяйственного использования
142000000000|Для размещения объектов, характерных для населенных пунктов
142001000000|Для объектов жилой застройки
142001010000|Для индивидуальной жилой застройки
142001020000|Для многоквартирной застройки
142001020100|Для малоэтажной застройки
142001020200|Для среднеэтажной застройки
142001020300|Для многоэтажной застройки
142001020400|Для иных видов жилой застройки
142001030000|Для размещения объектов дошкольного, начального, общего и среднего (полного) общего образования
142001040000|Для размещения иных объектов, допустимых в жилых зонах и не перечисленных в классификаторе
142002000000|Для объектов общественно-делового значения
142002010000|Для размещения объектов социального и коммунально-бытового назначения
142002020000|Для размещения объектов здравоохранения
142002030000|Для размещения объектов культуры
142002040000|Для размещения объектов торговли
142002040100|Для размещения объектов розничной торговли
142002040200|Для размещения объектов оптовой торговли
142002050000|Для размещения объектов общественного питания
142002060000|Для размещения объектов предпринимательской деятельности
142002070000|Для размещения объектов среднего профессионального и высшего профессионального образования
142002080000|Для размещения административных зданий
142002090000|Для размещения научно-исследовательских учреждений
142002100000|Для размещения культовых зданий
142002110000|Для стоянок автомобильного транспорта
142002120000|Для размещения объектов делового назначения, в том числе офисных центров
142002130000|Для размещения объектов финансового назначения
142002140000|Для размещения гостиниц
142002150000|Для размещения подземных или многоэтажных гаражей
142002160000|Для размещения индивидуальных гаражей
142002170000|Для размещения иных объектов общественно- делового значения, обеспечивающих жизнь граждан
142003000000|Для общего пользования (уличная сеть)
142004000000|Для размещения объектов специального назначения
142004010000|Для размещения кладбищ
142004020000|Для размещения крематориев
142004030000|Для размещения скотомогильников
142004040000|Под объектами размещения отходов потребления
142004050000|Под иными объектами специального назначения
142005000000|Для размещения коммунальных, складских объектов
142006000000|Для размещения объектов жилищно-коммунального хозяйства
142007000000|Для иных видов использования, характерных для населенных пунктов
143000000000|Для размещения объектов промышленности, энергетики, транспорта, связи, радиовещания, телевидения, информатики, обеспечения космической деятельности, обороны, безопасности и иного специального назначения
143001000000|Для размещения промышленных объектов
143001010000|Для размещения производственных и административных зданий, строений, сооружений и обслуживающих их объектов
143001010100|Для размещения производственных зданий
143001010200|Для размещения коммуникаций
143001010300|Для размещения подъездных путей
143001010400|Для размещения складских помещений
143001010500|Для размещения административных зданий
143001010600|Для размещения культурно-бытовых зданий
143001010700|Для размещения иных сооружений промышленности
